School,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES",ALL OTHER MISCELLANEOUS STORE RETAILERS,ALL OTHER PERSONAL SERVICES,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",ALL OTHER SPECIAL TRADE CONTRACTORS,ALL OTHER SUPPORT SERVICES,AUTO REPAIR AND MAINTENANCE,"AUTO REPAIR AND,                                                      MAINTENANCE",AUTOMOTIVE PARTS AND ACCESSORIES STORES,BEER AND WINE ON PREMISES/SUNDAY,BEER/WINE PKG/SUNDAY SALES,BEER/WINE/LIQUOR ON PREMI/SUNDAY,BEER/WINE/LIQUOR ON PREMISES C,BEER/WINE/LIQUOR PKG/SUNDAY SALES,CHILD DAY CARE SERVICES,COMPUTER SYSTEMS DESIGN SERVICES,CONVENIENCE STORES,DRINKING PLACE ( ALCOHOLIC BEVERAGES),ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,ELECTRONIC SHOPPING AND MAIL-ORDER HOUSES,FITNESS AND RECREATIONAL SPORTS CENTERS,FULL-SERVICE RESTAURANTS,GRAPHIC DESIGN SERVICES,"HAIR, NAIL, AND SKIN CARE SERVICES",HOTELS (EXCEPT CASINO HOTELS) AND MOTELS,"INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS",INSURANCE AGENCIES AND BROKERAGE,INTERIOR DESIGN SERVICES,JANITORIAL SERVICES,LANDSCAPING SERVICES,LIMITED-SERVICE EATING PLACE,LOCAL GENERAL FREIGHT TRUCKING,LONG-DISTANCE GENERAL FREIGHT,NEW AND USED CAR DEALERS,NON-PROFIT ORGANIZATION,OFFICE ADMINISTRATION SERVICES,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),OFFICES OF ALL OTHER MISCELLANEOUS HEALTH PRACTITIONERS,OFFICES OF DENTISTS,OFFICES OF LAWYERS,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),OFFICES OF REAL ESTATE AGENTS,OTHER BUSINESS SUPPORT SERVICES,OTHER CLOTHING STORES,OTHER DIRECT SELLING ESTABLISHMENTS,OTHER HEALTH AND PERSONAL CARE SERVICES,OTHER PERSONAL CARE SERVICES,OTHER SERVICES TO BUILDING AND DWELLINGS,OTHER SPECIALIZED SERVICES,PHARMACIES AND DRUG RETAILERS,PHOTOGRAPHIC SERVICES,"PLUMBING, HEATING, AND  AIR-CONDITIONING CONTRACTORS",REAL ESTATE PROPERTY MANAGERS,RESIDENTIAL BUILDING CONSTRUCTION,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),TIRE DEALERS,VENDING MACHINE OPERATORS,VETERINARY SERVICES,VIDEO TAPE AND DISC RENTAL,WOMEN'S CLOTHING STORES
Alps Road,0.5750079698839065,0.33497584250614715,0.9431213440374335,0.6070504245944919,0.6534960076247394,1.0164376814278964,0.6081210481551683,0.5915080165004831,0.9645254532162549,0.8100155889475333,0.6584181578821723,0.5032866162594044,1.25984201419613,0.9273311384614696,1.6593999486840747,1.392043751334874,0.4337347335745102,1.2867002675531407,0.8743934381359671,0.581735767660869,0.5268030919756339,0.33280450666459105,0.7913792409453907,0.26695778692003325,0.5938202466126705,1.0208079207195337,0.6601087968433961,0.7697510834415124,0.6552483865811952,1.2355317077780275,0.4566195055690864,1.1752525065251263,2.254568644966376,0.6982838945712733,0.649300765010171,1.4568973097946194,0.5243211529833833,0.7057930623275203,0.9580069661008489,0.8098636091972748,0.9266180228501419,0.40759357185162526,1.344867545667482,1.5842360801769895,1.2501320309306767,0.5111538794130511,0.5845503709287173,1.2807437623924884,0.30157013106964525,0.7653992291039728,1.1089393143885649,1.2480178820990504,0.3411163635299351,0.5025996890115213,0.7098891112723094,1.3582009065188079,1.540449115559156,1.1066628556979599,0.7045885390676255,0.6799034097896987
Barnett Shoals,1.2861906466881783,0.9437681715724278,1.9989889717433302,1.047501072194267,2.246334104391975,3.4346875423783616,2.152057226072252,2.2810856017936074,2.60269864457304,1.4794335121516946,1.100761123053073,1.2230160365104523,3.1988775832182643,2.0087912753744632,1.5359967789292623,2.274141096821986,0.9026789142981866,3.1981759640032448,2.2120364123121488,0.9180415279896149,1.7272168675338422,0.961580449753821,1.4837491754431105,1.1339709601763173,3.1135603958970615,2.0502275951582063,1.8364245449676437,2.4330671839890594,1.4949075258416706,0.9739808344770448,1.186790816966171,2.706933203165098,3.046304342377679,3.45156413293581,1.8333489538462948,1.5461498580884279,1.4555406147279977,2.98704986929986,2.4738845245752903,1.2713297964177328,1.0905663323930224,1.675095406996968,3.2306133608743948,3.2624372646477395,1.593765435161952,1.3781339669352137,1.9083795346731078,2.265764604161041,0.6277939089038065,2.1868326869607855,1.5137863873045063,1.3647407770205133,0.6973553590075996,1.154198387868016,1.362115366515313,2.394773085174594,3.1988056445185085,1.8489913867118402,1.4114009901484001,2.9315039961930913
Barrow,0.8293764829852017,0.5129158440939773,0.8873158023520645,0.6441039345631193,1.4477184428513123,1.373851365444407,1.2254388875596882,1.3214151214805085,1.892663247587245,1.1436199900548454,0.6448500101055996,0.6775849677812821,1.2415929453195675,1.095318694164927,1.956391546069576,1.7824456201808039,0.5385367610697593,1.2482185929460998,1.2993226711415216,0.9123214935881669,0.7745535026368398,0.4705382758377524,1.1130518644308744,0.6149718475763687,1.1340060482234333,0.9401595886682544,1.1534300635251042,0.9815224944298865,1.0708382605384577,0.9127921476261985,0.6116767999533989,2.112676571458324,2.2114647019926696,1.8937940013435508,1.1728385878487562,1.1815498648020697,1.117462937052264,1.2060316346162332,1.0253655717499284,0.668242118350535,0.63215072540245,0.7137652691525034,1.6354586278425858,1.302558383010487,0.8125350957604819,0.9650909708607232,1.3644848062405857,1.4373736619695054,0.4664867023311286,1.2267988265913714,1.168198553145224,1.2760764861429978,0.3257100055773651,0.5112050233943148,0.9863972453958124,2.0276236048223155,1.3021389450285805,1.4969541216022189,1.9167379115933687,1.1488914802048227
Chase Street,0.6023788214460604,0.34375882696425153,0.5492086957131364,0.5201393444886525,0.7037887641335682,0.8813061327920196,0.7822207761427594,0.9257396734633954,1.1238885763546254,0.7734760914365718,0.5914914564558581,0.6392865716137106,0.5480043820060612,0.9943375093367379,1.8577963098434163,1.3216496556677237,0.4505532482054035,0.700710775400544,0.686191707780544,0.7108736212925257,0.647318723126504,0.38373951728622024,0.9111437876187374,0.31888867208145355,0.8382879322811605,0.7156623864421235,0.5699838167544765,0.8559061041441239,0.579077691773334,0.7625962244512939,0.4609514187423164,1.1751572152675875,2.1514552465159285,0.721125247601111,0.37526415025239845,1.3068491190678349,0.2985002773851026,0.5595719976037762,0.43873345855836515,0.4063343613133612,0.4711207439520043,0.4402599377531444,0.9555900740034117,1.1215053081810007,0.8654327228134968,0.47263193949509524,0.543666935204792,1.470288758259293,0.2737288733034301,0.7002067971015928,0.7712394105441671,0.5848652078067608,0.3069519777072437,0.40985240609894563,0.5474230437567789,1.3187106077183293,1.1207986165438308,1.1059173354269176,1.373892008616015,0.8963507878405276
Choice Zone-East,0.6736794151262564,0.6268842060559131,2.220620729395493,0.7431708734245542,1.8951780757823768,4.016482272405269,1.3200562574836832,1.8387778656298441,1.3158883495068894,0.851637490240453,0.6536725456868224,1.0437803307085796,3.411964343808328,2.3361029226862,1.1552257471734309,2.358861907282802,0.7191665364872852,3.411024192020506,2.344196919496255,0.9786412253292466,0.9823869362373152,0.6256257560705337,1.082630277745929,0.6238501202202769,3.349717853465351,1.6544942444626485,0.7125123709418482,3.310714444497034,0.9889717440581642,0.7350216653789619,0.7316554055318671,2.361962953194008,2.4921231766940672,3.9223138956135526,0.9139814367328651,1.0095066480331243,0.8116578093565355,3.48672335066864,2.7417679385236706,1.141344420403874,0.8042160711153209,1.7304605408991696,3.4671797879084765,3.5377123352445525,0.8984544270239408,0.7286232443479286,1.087057834178585,2.091916708891256,0.4865732445555346,1.1360948769758255,1.5947017137437933,1.6708939351429428,0.6476254302184369,0.6650255476337424,0.913297760870047,1.41561420811608,3.404235243320075,0.8325782902566193,1.0213922794923578,3.457525045555708
Choice Zone-West,1.8587287066303728,1.1210214430037604,1.8256496327102676,1.1924681950292035,1.2549207871758294,1.369733461228333,2.250595954350384,1.0832155433294182,3.2268109718881464,3.2238201873815777,1.0804052352395548,2.5719482346892812,2.508302819152717,2.455709752773945,2.72586990345552,2.928786297194634,1.0869665690297867,2.561142570884205,1.7396945122664893,0.976708761307022,2.57151050030006,2.0480521594727508,2.3741521936686034,1.746920598544592,3.2778568089421904,2.395201490049936,2.1848214123041667,3.036794207102023,0.8632399292661955,1.1346889098987794,1.9442156805248205,1.0573196543622136,1.1565424531132678,2.1624571552381062,1.8043913247844847,1.6194155078263852,0.9870864703099907,1.951738952092998,1.6078763058850554,2.2604351572825108,2.0783431506880445,2.1465783830139555,2.342593796060601,3.2647316160579942,1.2123708684258605,1.9256931639051245,2.363763345001682,2.521126557927102,0.6955685584809691,2.021200370260979,2.414419818139677,1.734759400079044,1.9388273005152243,1.1679890439107308,2.2326899713817525,2.29646928163494,1.9492593618884835,2.3256835159900766,3.5486983547959783,3.2779946786927026
Cleveland Road,1.2760433178457602,0.7951199532345176,3.4051755327152202,0.7441796149238263,2.0479197324277494,1.5022718908704649,0.9261532871825069,1.4799160935045115,1.7503020484836735,4.3674749300890925,1.286773347788029,1.808074937936167,4.487828901010272,3.3717604359407893,2.877638638058508,1.5783165374249977,1.070259382609181,4.9476339286525,1.2362356143908542,1.213410285471444,1.5178949799720771,0.9124619159304006,3.161797103491919,1.1184783777321043,1.5505912517453813,2.699915815331459,2.032346072157113,1.630675667209459,1.0481555396350681,0.8293677608461495,1.306690691822477,2.373309391042038,2.0694313887950946,0.8998548419216104,1.5291354363226213,4.6731986005361765,3.5338698355578835,3.5420475758906376,2.1089295173816924,1.7629645702712977,1.1792366621591117,2.0429526751310028,1.9829569685219304,1.743098251580273,1.277116096069279,1.290694637925474,1.7202466752170544,1.7356486869386853,0.8841321258467572,3.2607697096312163,1.9009224621902032,1.1325176411646425,0.9769419969277261,1.3676625084929452,2.416923172716853,1.501242165177133,3.2468678249232625,3.3503615384383534,2.416923172716853,1.3236262012381346
Fowler Drive,1.6615832264127368,0.9098392531429674,2.743192706430198,2.401093552285699,1.3906406165136325,2.6014549653876267,0.9781209199959459,1.3076382662784454,2.4810247111223775,2.9012515385183817,1.0806966140564997,2.6572011614622335,2.79486508744468,2.3221229330000863,2.333365447878061,3.7326261163967938,1.205056835657935,2.531522640950133,1.986981795657231,1.2491910791380554,2.473938459790647,1.2692687497574797,2.731226934559943,1.4261897888988169,2.6045202460632186,2.165077455363263,1.9508798180829894,2.9474612452993734,0.81114928856164,1.262787888261792,1.7988578816081442,2.068648202631881,1.4262416789121746,1.0931162823892662,2.234505892035493,2.865207362764708,1.8524776113061796,2.5743384656690718,2.5002114141634793,2.699319448305824,2.5252670292179475,2.8577698087254095,2.5271364217748484,1.696685665956966,1.4505137932647905,2.827324346026813,2.4656634261554786,1.6225705984693757,0.838625862399583,2.7941499697281045,2.6851495269868226,1.6652166284441248,1.2585140080751571,1.3234992983424494,1.8211899550152284,1.4948122872899643,2.6079783105627783,3.010582183558068,3.4430860684766396,2.8881959935278663
Gaines,0.9939852788233545,0.48518706121418764,1.2557636631631823,1.0514310366791115,1.2383189942226778,2.396706036700589,0.7274820741898629,1.012658983079088,1.7713045431451298,0.9821061759884726,0.8182149134086575,0.9413966791640163,1.5450168264714705,0.9938644808065217,1.1954762672366814,2.202368611334683,0.6172617489722403,1.5488100398780429,1.7085282998097782,0.914175459174562,0.9767182235503582,0.643128375437046,1.4281598833992957,0.6315579002011854,1.5669470737887474,1.1292211748769783,1.3065648306819848,1.9773615072004092,0.7574979622232669,0.8163811864740117,0.8644522903481718,2.729468177003657,1.5206823454839868,2.275684524827448,1.292675423893047,1.5172767229567663,1.1991066291368326,1.9406617515306444,1.8425014048861859,0.8229088477967912,1.1186966311972253,1.4122889579210351,2.0793976581420535,1.6998906660935271,1.1076347269991103,1.1362178425802942,1.4251207702133486,1.089037588902708,0.4605757554632925,1.3738873125387672,1.0484134938597032,1.1524722931015505,0.4530770046872222,0.6860631900823622,1.1272936790779555,1.6751493046006953,1.5433287931793178,1.8011428112679215,1.7966306904478253,1.6235204947090978
Howard B Stroud,1.2399236878390871,0.7750979095989889,1.3133740500643434,1.1266106518395884,1.0864304937078926,2.460741926133299,1.10115826463419,1.4328830026219723,2.328269325567136,1.4208603649874672,0.7881214554561881,1.3383632635615645,1.35308084791616,1.2418908965182573,1.8140352884524955,2.677730932006072,0.8491014674177536,1.338042494901263,1.406727662704743,0.7271094784333021,1.1275083111369102,0.9176476052012414,2.01783209199787,0.7486694730355199,1.1998681011724839,1.0501703115748937,1.375396543781152,1.9093191886392336,0.8181403925848902,1.2238588506046832,1.2005359270321685,2.7129983739173094,1.4899082182845307,1.3685855588293323,1.0874553121749984,2.2300894680938246,1.5162133519012209,1.5220489998951265,1.6733244763127977,1.2476716701729473,1.3985442896783598,1.4698728852333756,1.5625803592932315,1.3150976990443561,0.9855973151185824,1.359262573841093,1.4284961278396318,1.5302747132567363,0.652577470211519,1.34938019633906,1.380103147870137,1.106319980880264,0.5182322660405911,1.1343338542216337,1.233357419382602,1.5607283640337988,1.3468978055427847,2.4705936770942776,2.4092884856102614,1.3253128190560843
Judia Jackson Harris,3.1481130120241905,1.5884465608155625,4.681058570178145,4.229103049131684,2.9732380785137993,4.732226636116405,1.380404731238712,2.538223408097207,3.1462244375349564,4.831849766778251,1.5704023269797276,4.564395857232406,4.701428246362411,3.610122244071207,3.66077461165632,5.617359288330533,0.952608111802617,4.56712804371464,3.4163062067248404,2.146469468588165,4.4695519610026135,1.6378190742807006,4.516691170955111,1.051173345440521,4.4634007780944,3.8181361692122655,3.16451526063212,4.796706105775058,1.258757038121246,1.128503695896619,1.7858685383595245,2.2637509400973124,2.417119899271677,2.2352647045690603,4.1583797805748075,4.5074265999710414,3.151393151942639,4.475712005329487,4.180406778722648,4.627152306224172,4.512038742825247,4.842777487674543,4.465988150665528,3.084398458138938,1.3424680928527988,4.7706240649191,4.540978546804095,1.4351527617282718,1.6199160779783832,4.785994762454397,4.329762374749341,2.7102486366917744,3.001864796580108,1.7333090928033856,1.755775107505539,2.7009956943498357,4.59793526672541,4.588893262190552,5.040176314594489,4.73452115051537
Oglethorpe,1.2913118180164447,1.3257611336429154,1.4654710932128092,1.0535038644163912,1.4225693370334538,1.5582614319905128,1.4694838540038633,1.632238897098908,2.1174460322549447,2.2618137890460503,1.0477740928138628,1.6495234874461202,2.1972942327704024,1.602891755113213,1.7962457467757,1.8223857932596321,0.9830540095027345,2.4359115620608427,1.471399046154152,0.9488223755985167,1.6695366231795046,1.0308569380244723,1.483916086210451,1.3957455443775826,1.7820120607527807,1.6576895603896789,1.5588720673586278,1.970164573022671,1.1817094625617017,1.2775395178921505,1.6179681483249067,1.353858001401772,2.6430570165333913,1.3890044537448016,1.4433347157865515,2.4618585768161854,1.0329733343598373,1.378120992059121,1.4279012311934651,1.6168939525993387,1.476029832523262,1.5073870947218317,1.645051123194335,2.2028008324632995,1.3635089736850599,1.201992711636016,1.778764386837202,1.4060930058913927,0.7959643002139368,1.5301625089903217,1.796439144130009,1.8915204789332336,0.7884558708907081,0.8928914324750847,1.7461623071953423,1.7408974740475922,2.0110199567383775,1.5242270112107348,1.898716627886601,1.8090473220121082
Timothy Rd.,0.9872012518642833,0.7536970105539542,1.8066274317777558,0.5847443793110519,1.608187625823699,1.3372080605603947,1.12077880387285,1.2528992670153698,1.9344851893495978,2.0853498719098598,0.8297686814506867,0.8951772321745148,2.76333322217459,1.7221473177854043,1.3548100560535898,1.5308200905894869,0.975265602422041,2.873890350726261,1.3375898528642811,1.0108680256390654,0.9782661348029882,0.7611505598916235,1.4250243444632391,0.7603169190103702,1.5914542725050884,1.167538111125914,1.025314238067481,1.2931255326788533,1.0750143663500482,1.381336135019297,0.9051890836791054,1.8166744561446984,2.264097601267027,0.906097692383085,1.3663652854008381,2.836544027238778,1.8285901777890234,1.8909823562522752,1.5591645220858406,1.1453587648843913,1.3258931243440242,0.9548962319124698,1.8893899380328312,1.4765405137621255,1.5205655060573395,1.1069823205491554,1.179639552529174,1.4064384463080273,0.5821995701177778,1.716507588223474,1.5861497993132148,1.533650351165832,0.5121664157289564,0.9158302699808736,1.199505373076605,1.201123807811218,1.7694968496811034,1.5227147865307622,1.5147822997002773,1.3722534549452783
Whit Davis,1.8720278455845851,1.7774071190778984,3.6329728171096263,1.0977842732163554,1.7562909161260782,5.787874645906171,3.270677680560588,3.7636021229705876,2.9627499130088535,2.4442243393675875,1.996262519182141,2.4166616508146506,5.329445595931928,4.16223090937522,2.761451167114413,2.514845007661322,2.2044199576698436,5.3261159659991115,3.7579119354635924,1.1381098136875867,2.4333952805626335,2.007461021194373,2.220044941728214,2.001434403072311,5.223555426746686,1.9905667648572025,2.4036572922605837,3.2886197552893415,1.3269294873466788,1.060849128364864,2.2537890493765644,1.5470736872153494,4.315852739361937,5.745464991170687,2.4433519374754074,2.448594219803629,2.4836546280185323,5.193361199399898,4.66523036706937,2.5858717852790507,2.3377126656654537,2.2529730754936814,5.322923154196581,5.42172847242757,2.2005765702266626,2.159234321914657,2.597543347280491,3.9173440476976107,0.9036988025535755,2.7425649584157235,1.2828461853168467,2.5414157945669227,1.3064650204656096,1.969942135417717,2.436465608745286,2.8959211328872856,5.323958146912467,2.391144933839318,2.363822598482026,5.14578337023093
Whitehead Rd.,1.5087579167785257,1.2517679174078444,1.5278397614818147,0.997786738417952,1.1325271237156342,1.8135051361443073,2.5657862168907117,1.3498174059819603,3.0128714544258197,2.9698544853298574,1.295919432169108,2.6531930560457666,2.6667004299254695,2.240213392887991,2.1140153417482774,2.5534378437005354,1.2903690218700508,2.881262202026576,2.1568859586562383,0.9852433585196685,2.4723952709760217,1.6960157719058944,2.0270138567845057,1.8628383697507735,2.852250884538176,2.187914330234243,2.4166455925644534,3.0201547682119303,0.9545962915748925,1.1080054087341713,1.95185838465454,1.5889146223388753,2.469684948490687,2.5557192004033933,1.688393343897184,2.017531382675039,1.3874174381182194,1.798830812985636,1.7181278601381524,2.310980926347637,1.805362519357012,2.113316598125061,2.2651208941250185,3.0334366976851457,1.0462978047349238,1.2302888601413369,2.504354620919717,1.9643893782406032,0.628406168002239,1.8785897956342248,2.573099954085968,2.2825784103918196,1.4482881441148578,0.8160703190308446,2.5506230440368918,2.7524667026707936,2.569885940440634,2.1394722023604484,2.9839120278403164,2.877968301442588
Winterville,1.894845089603165,1.577843934584621,3.476607116348028,2.6616739649364383,2.5569402394942573,5.412126462532957,2.4126584615146394,2.5501163859345475,3.0855207453392937,3.0549029793539066,1.7414229465840354,3.2603873612745877,4.465532870735942,3.4450956420838588,3.1434298804097183,3.8980465904597503,1.8492208399404821,4.465385060705887,3.6411625011162774,2.2806093986488407,2.563998289849613,1.752560485314502,3.2614345236852236,1.5793342248723443,4.4359672394227445,2.5169219049546108,2.3349989590993414,4.742616641190957,1.455705767957263,1.392231274530301,1.9647641325440044,3.605487217432002,2.882159711251572,4.202705224991684,2.9556809643799977,2.991319722980844,2.511410601636693,3.936679378347317,3.7494638026220484,3.2287926716360418,2.9060470150947864,3.739107637668791,4.497631569991953,4.207931946724957,2.3577052289460942,2.3864986067352136,3.2144936790429055,3.306196609595473,1.5176267254342883,3.119460405577174,3.0070347675037152,2.499990479340257,2.091238778866608,2.511435374618983,2.8151681010473304,3.0628116770967146,4.274878641394517,2.495216234229133,2.138955843831934,4.100712898720645
