School,acc_naics1,D1,D2,D3
Alps Road,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES",0.3566267334111805,0.4346892429880626,0.5750079698839065
Barnett Shoals,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES",0.8264030957339835,1.0593887253446266,1.2861906466881783
Barrow,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES",0.507012687247826,0.6929448131630809,0.8293764829852017
Chase Street,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES",0.361183881315394,0.4717213250622742,0.6023788214460604
Choice Zone-East,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES",0.4006408445935085,0.5724651819567558,0.6736794151262564
Choice Zone-West,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES",0.9315525466348438,1.522931277165522,1.8587287066303728
Cleveland Road,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES",0.9579977857329586,1.0279519599907774,1.2760433178457602
Fowler Drive,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES",0.9097001212514968,1.3105020199084396,1.6615832264127368
Gaines,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES",0.6870757923186056,0.9041933008145431,0.9939852788233545
Howard B Stroud,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES",0.7834539869498716,1.194422502118505,1.2399236878390871
Judia Jackson Harris,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES",1.5778855631552047,2.519825296437046,3.1481130120241905
Oglethorpe,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES",0.6485875608696616,0.9722534021988929,1.2913118180164447
Timothy Rd.,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES",0.5277275240939104,0.8170414048185437,0.9872012518642833
Whit Davis,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES",0.9405136373816791,1.5591318002463967,1.8720278455845851
Whitehead Rd.,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES",0.775562408606965,1.2575644973132796,1.5087579167785257
Winterville,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES",1.458009786612255,1.7606374478468245,1.894845089603165
Alps Road,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.1767739491613625,0.25883808263842234,0.33497584250614715
Barnett Shoals,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.6124522218141818,0.7843670442132795,0.9437681715724278
Barrow,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.38352905966685397,0.45262889809007495,0.5129158440939773
Chase Street,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.2087775404008997,0.2926185133342076,0.34375882696425153
Choice Zone-East,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.37313404036720604,0.5569411748381509,0.6268842060559131
Choice Zone-West,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.866176280641086,0.9401296385804869,1.1210214430037604
Cleveland Road,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.5255981076330559,0.6770344948291842,0.7951199532345176
Fowler Drive,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.5224201137014378,0.7896505468919122,0.9098392531429674
Gaines,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.2981779055634804,0.3999893674736342,0.48518706121418764
Howard B Stroud,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.49172620578679604,0.6875396059806408,0.7750979095989889
Judia Jackson Harris,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.6635429449898792,0.9112899707217664,1.5884465608155625
Oglethorpe,ALL OTHER MISCELLANEOUS STORE RETAILERS,1.1799014496517943,1.267414535462457,1.3257611336429154
Timothy Rd.,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.622292656985233,0.6740509312639904,0.7536970105539542
Whit Davis,ALL OTHER MISCELLANEOUS STORE RETAILERS,1.0740047830258344,1.5523943618649518,1.7774071190778984
Whitehead Rd.,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.9245911370501986,1.2059079095908565,1.2517679174078444
Winterville,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.981357413365853,1.3845290189407147,1.577843934584621
Alps Road,ALL OTHER PERSONAL SERVICES,0.32910838737359405,0.7669679910485339,0.9431213440374335
Barnett Shoals,ALL OTHER PERSONAL SERVICES,0.8949192841373098,1.4204046132738024,1.9989889717433302
Barrow,ALL OTHER PERSONAL SERVICES,0.5268257602757391,0.6405382450710163,0.8873158023520645
Chase Street,ALL OTHER PERSONAL SERVICES,0.31349325906519904,0.44223249951559074,0.5492086957131364
Choice Zone-East,ALL OTHER PERSONAL SERVICES,1.3262154806915427,1.6229591783921762,2.220620729395493
Choice Zone-West,ALL OTHER PERSONAL SERVICES,0.7052990986462803,1.180412324879291,1.8256496327102676
Cleveland Road,ALL OTHER PERSONAL SERVICES,1.2847635588903328,2.355384111435694,3.4051755327152202
Fowler Drive,ALL OTHER PERSONAL SERVICES,2.203013565606639,2.522077728965261,2.743192706430198
Gaines,ALL OTHER PERSONAL SERVICES,0.528460980507289,0.9167260147670915,1.2557636631631823
Howard B Stroud,ALL OTHER PERSONAL SERVICES,0.8189907412529005,1.2020646376545192,1.3133740500643434
Judia Jackson Harris,ALL OTHER PERSONAL SERVICES,3.395210362381886,4.4046077770252925,4.681058570178145
Oglethorpe,ALL OTHER PERSONAL SERVICES,0.8035845568420071,1.2687403302823501,1.4654710932128092
Timothy Rd.,ALL OTHER PERSONAL SERVICES,0.9714349904475255,1.2889092993565807,1.8066274317777558
Whit Davis,ALL OTHER PERSONAL SERVICES,2.920742395024609,3.1263326258840625,3.6329728171096263
Whitehead Rd.,ALL OTHER PERSONAL SERVICES,0.6648177284579311,1.1831289103502556,1.5278397614818147
Winterville,ALL OTHER PERSONAL SERVICES,2.1677981666957735,3.028632982251914,3.476607116348028
Alps Road,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",0.2940465505668603,0.4648821936411979,0.6070504245944919
Barnett Shoals,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",0.5471955484338661,0.7765931124729661,1.047501072194267
Barrow,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",0.35742243130517365,0.5520964469048211,0.6441039345631193
Chase Street,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",0.2749635024462663,0.41749483206577503,0.5201393444886525
Choice Zone-East,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",0.407617983310564,0.6144930244664099,0.7431708734245542
Choice Zone-West,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",0.6924994179448258,1.0136284022900741,1.1924681950292035
Cleveland Road,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",0.4303183571139958,0.5974998866216991,0.7441796149238263
Fowler Drive,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",1.3517630269306198,2.1226962415238875,2.401093552285699
Gaines,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",0.44407233468131624,0.8332347918543189,1.0514310366791115
Howard B Stroud,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",0.7315403358622407,0.9595690000704952,1.1266106518395884
Judia Jackson Harris,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",3.327031965892957,4.081703013531775,4.229103049131684
Oglethorpe,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",0.5194335623686305,0.7834632182063737,1.0535038644163912
Timothy Rd.,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",0.2828481650176539,0.46563267413847215,0.5847443793110519
Whit Davis,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",0.5511072890782649,0.9345057241315539,1.0977842732163554
Whitehead Rd.,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",0.5485464133118686,0.7598244433374025,0.997786738417952
Winterville,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",2.0902532172238444,2.5440372210269673,2.6616739649364383
Alps Road,ALL OTHER SPECIAL TRADE CONTRACTORS,0.4600548289766665,0.5754512079116927,0.6534960076247394
Barnett Shoals,ALL OTHER SPECIAL TRADE CONTRACTORS,1.1484677687017564,1.8394500387766128,2.246334104391975
Barrow,ALL OTHER SPECIAL TRADE CONTRACTORS,0.9548606386195769,1.3121144930460744,1.4477184428513123
Chase Street,ALL OTHER SPECIAL TRADE CONTRACTORS,0.2986250835821093,0.5057828522110717,0.7037887641335682
Choice Zone-East,ALL OTHER SPECIAL TRADE CONTRACTORS,0.9265866640223916,1.5611296327419797,1.8951780757823768
Choice Zone-West,ALL OTHER SPECIAL TRADE CONTRACTORS,0.6883664960260985,0.9524035196192263,1.2549207871758294
Cleveland Road,ALL OTHER SPECIAL TRADE CONTRACTORS,1.145141297085545,1.2003262199002902,2.0479197324277494
Fowler Drive,ALL OTHER SPECIAL TRADE CONTRACTORS,0.7162641751213283,1.1204213184486893,1.3906406165136325
Gaines,ALL OTHER SPECIAL TRADE CONTRACTORS,0.7695387765043142,1.1118356889870613,1.2383189942226778
Howard B Stroud,ALL OTHER SPECIAL TRADE CONTRACTORS,0.6588566750468191,0.9273618733933309,1.0864304937078926
Judia Jackson Harris,ALL OTHER SPECIAL TRADE CONTRACTORS,2.3588395279193612,2.7167986131457633,2.9732380785137993
Oglethorpe,ALL OTHER SPECIAL TRADE CONTRACTORS,0.9223220995704131,1.1662803467416785,1.4225693370334538
Timothy Rd.,ALL OTHER SPECIAL TRADE CONTRACTORS,0.8330435651386819,1.3303264020552539,1.608187625823699
Whit Davis,ALL OTHER SPECIAL TRADE CONTRACTORS,0.692037443989389,1.2116009792057472,1.7562909161260782
Whitehead Rd.,ALL OTHER SPECIAL TRADE CONTRACTORS,0.5033976488065668,0.876677302976404,1.1325271237156342
Winterville,ALL OTHER SPECIAL TRADE CONTRACTORS,1.5947973657120598,2.268934871804266,2.5569402394942573
Alps Road,ALL OTHER SUPPORT SERVICES,0.48972294349701645,0.7675854971182641,1.0164376814278964
Barnett Shoals,ALL OTHER SUPPORT SERVICES,3.2270973264885576,3.3569077445522897,3.4346875423783616
Barrow,ALL OTHER SUPPORT SERVICES,0.9368743861732033,1.1714085642263312,1.373851365444407
Chase Street,ALL OTHER SUPPORT SERVICES,0.48705702647308907,0.6576482975167871,0.8813061327920196
Choice Zone-East,ALL OTHER SUPPORT SERVICES,3.7996650644425807,3.9432098037397414,4.016482272405269
Choice Zone-West,ALL OTHER SUPPORT SERVICES,0.609521572655344,0.8569044195088988,1.369733461228333
Cleveland Road,ALL OTHER SUPPORT SERVICES,1.0321717268904498,1.2901088868901545,1.5022718908704649
Fowler Drive,ALL OTHER SUPPORT SERVICES,1.5783366200254223,2.395199778183278,2.6014549653876267
Gaines,ALL OTHER SUPPORT SERVICES,1.939823648788749,2.162412359762019,2.396706036700589
Howard B Stroud,ALL OTHER SUPPORT SERVICES,1.6069888757626876,1.9868504796264346,2.460741926133299
Judia Jackson Harris,ALL OTHER SUPPORT SERVICES,3.3644763906431017,4.566491670250022,4.732226636116405
Oglethorpe,ALL OTHER SUPPORT SERVICES,0.9798762166057607,1.3615369767374614,1.5582614319905128
Timothy Rd.,ALL OTHER SUPPORT SERVICES,0.7475996065104915,1.212866586689845,1.3372080605603947
Whit Davis,ALL OTHER SUPPORT SERVICES,5.658351534566667,5.740143252716045,5.787874645906171
Whitehead Rd.,ALL OTHER SUPPORT SERVICES,0.7886258010417697,1.0617909045353473,1.8135051361443073
Winterville,ALL OTHER SUPPORT SERVICES,4.8670445869263474,5.15314031045989,5.412126462532957
Alps Road,AUTO REPAIR AND MAINTENANCE,0.3043959472380321,0.4852707171774457,0.6081210481551683
Barnett Shoals,AUTO REPAIR AND MAINTENANCE,1.2092981817225885,1.947996833069695,2.152057226072252
Barrow,AUTO REPAIR AND MAINTENANCE,0.6079524621593805,1.0914577431692478,1.2254388875596882
Chase Street,AUTO REPAIR AND MAINTENANCE,0.4494834519663324,0.6305238991088576,0.7822207761427594
Choice Zone-East,AUTO REPAIR AND MAINTENANCE,0.539117619354746,0.9623304385045128,1.3200562574836832
Choice Zone-West,AUTO REPAIR AND MAINTENANCE,1.2614582580604352,1.9658397236887488,2.250595954350384
Cleveland Road,AUTO REPAIR AND MAINTENANCE,0.6687124726553787,0.8581435101099992,0.9261532871825069
Fowler Drive,AUTO REPAIR AND MAINTENANCE,0.46207649175552407,0.8410518250418959,0.9781209199959459
Gaines,AUTO REPAIR AND MAINTENANCE,0.42677188521003867,0.545435838229259,0.7274820741898629
Howard B Stroud,AUTO REPAIR AND MAINTENANCE,0.6457893856798383,0.9195768540507309,1.10115826463419
Judia Jackson Harris,AUTO REPAIR AND MAINTENANCE,0.6440077442435782,1.103053450203612,1.380404731238712
Oglethorpe,AUTO REPAIR AND MAINTENANCE,0.8838603861351073,1.3963544687910603,1.4694838540038633
Timothy Rd.,AUTO REPAIR AND MAINTENANCE,0.7678238511244799,0.9162725142980781,1.12077880387285
Whit Davis,AUTO REPAIR AND MAINTENANCE,2.170361255637449,2.6352500328041963,3.270677680560588
Whitehead Rd.,AUTO REPAIR AND MAINTENANCE,0.8374167416310379,1.7473903906259312,2.5657862168907117
Winterville,AUTO REPAIR AND MAINTENANCE,1.7869625400881948,2.2317418204970436,2.4126584615146394
Alps Road,"AUTO REPAIR AND,                                                      MAINTENANCE",0.37142165437869346,0.4424938448612051,0.5915080165004831
Barnett Shoals,"AUTO REPAIR AND,                                                      MAINTENANCE",1.6737031714632402,2.0776314227459327,2.2810856017936074
Barrow,"AUTO REPAIR AND,                                                      MAINTENANCE",0.7445757278304249,1.1016119221438063,1.3214151214805085
Chase Street,"AUTO REPAIR AND,                                                      MAINTENANCE",0.5851271567234347,0.7023678582725265,0.9257396734633954
Choice Zone-East,"AUTO REPAIR AND,                                                      MAINTENANCE",0.8038599502502538,1.4342121610453513,1.8387778656298441
Choice Zone-West,"AUTO REPAIR AND,                                                      MAINTENANCE",0.8701512986454043,1.0268919279679933,1.0832155433294182
Cleveland Road,"AUTO REPAIR AND,                                                      MAINTENANCE",0.968676278793142,1.3537557445862216,1.4799160935045115
Fowler Drive,"AUTO REPAIR AND,                                                      MAINTENANCE",0.592173962353822,0.9971152185534773,1.3076382662784454
Gaines,"AUTO REPAIR AND,                                                      MAINTENANCE",0.7001408721203844,0.8751835467273951,1.012658983079088
Howard B Stroud,"AUTO REPAIR AND,                                                      MAINTENANCE",0.9507512306921849,1.2938876377393953,1.4328830026219723
Judia Jackson Harris,"AUTO REPAIR AND,                                                      MAINTENANCE",1.5991420185693948,2.1006646549634995,2.538223408097207
Oglethorpe,"AUTO REPAIR AND,                                                      MAINTENANCE",1.3994921635929538,1.5307679472739733,1.632238897098908
Timothy Rd.,"AUTO REPAIR AND,                                                      MAINTENANCE",0.6789790268922501,0.9485737684196787,1.2528992670153698
Whit Davis,"AUTO REPAIR AND,                                                      MAINTENANCE",2.5130909918772315,3.3989355708732916,3.7636021229705876
Whitehead Rd.,"AUTO REPAIR AND,                                                      MAINTENANCE",1.0353716071751553,1.1536272741492293,1.3498174059819603
Winterville,"AUTO REPAIR AND,                                                      MAINTENANCE",1.6674798600382803,2.227917356737225,2.5501163859345475
Alps Road,AUTOMOTIVE PARTS AND ACCESSORIES STORES,0.5251883568607968,0.793859833513961,0.9645254532162549
Barnett Shoals,AUTOMOTIVE PARTS AND ACCESSORIES STORES,1.3145961239172523,2.297916525763575,2.60269864457304
Barrow,AUTOMOTIVE PARTS AND ACCESSORIES STORES,1.4907365386859779,1.55363934440607,1.892663247587245
Chase Street,AUTOMOTIVE PARTS AND ACCESSORIES STORES,0.8405784497255554,0.8964859785407737,1.1238885763546254
Choice Zone-East,AUTOMOTIVE PARTS AND ACCESSORIES STORES,0.6063876836030182,1.0355091100612854,1.3158883495068894
Choice Zone-West,AUTOMOTIVE PARTS AND ACCESSORIES STORES,2.129081477515053,3.1282593139376473,3.2268109718881464
Cleveland Road,AUTOMOTIVE PARTS AND ACCESSORIES STORES,0.8917155058818829,1.0327199270702843,1.7503020484836735
Fowler Drive,AUTOMOTIVE PARTS AND ACCESSORIES STORES,1.1915614469874303,1.7683855631363574,2.4810247111223775
Gaines,AUTOMOTIVE PARTS AND ACCESSORIES STORES,1.1683653636934634,1.3341990783754467,1.7713045431451298
Howard B Stroud,AUTOMOTIVE PARTS AND ACCESSORIES STORES,0.6677019744357803,0.7904360478659808,2.328269325567136
Judia Jackson Harris,AUTOMOTIVE PARTS AND ACCESSORIES STORES,0.8681692673488026,1.1746158636647148,3.1462244375349564
Oglethorpe,AUTOMOTIVE PARTS AND ACCESSORIES STORES,1.4292486351574047,1.8199350056428873,2.1174460322549447
Timothy Rd.,AUTOMOTIVE PARTS AND ACCESSORIES STORES,1.0677448474471511,1.4997630125998975,1.9344851893495978
Whit Davis,AUTOMOTIVE PARTS AND ACCESSORIES STORES,2.100659181746655,2.52434468570309,2.9627499130088535
Whitehead Rd.,AUTOMOTIVE PARTS AND ACCESSORIES STORES,2.5118781267704455,2.823660919568385,3.0128714544258197
Winterville,AUTOMOTIVE PARTS AND ACCESSORIES STORES,1.733524348756413,2.2178456021367143,3.0855207453392937
Alps Road,BEER AND WINE ON PREMISES/SUNDAY,0.37244744428377824,0.6472052299135702,0.8100155889475333
Barnett Shoals,BEER AND WINE ON PREMISES/SUNDAY,1.102717892434012,1.3643823106032833,1.4794335121516946
Barrow,BEER AND WINE ON PREMISES/SUNDAY,0.6820032285995336,0.984979565916301,1.1436199900548454
Chase Street,BEER AND WINE ON PREMISES/SUNDAY,0.42842688792373923,0.5514440871170908,0.7734760914365718
Choice Zone-East,BEER AND WINE ON PREMISES/SUNDAY,0.8337358578907097,0.8350253823919273,0.851637490240453
Choice Zone-West,BEER AND WINE ON PREMISES/SUNDAY,2.5531264284664985,2.7330880311697765,3.2238201873815777
Cleveland Road,BEER AND WINE ON PREMISES/SUNDAY,3.1816187162126157,4.2962005169549276,4.3674749300890925
Fowler Drive,BEER AND WINE ON PREMISES/SUNDAY,2.789832576153295,2.8050586156874315,2.9012515385183817
Gaines,BEER AND WINE ON PREMISES/SUNDAY,0.8794213243519897,0.9166006908898756,0.9821061759884726
Howard B Stroud,BEER AND WINE ON PREMISES/SUNDAY,1.3005474647837736,1.3141543827210924,1.4208603649874672
Judia Jackson Harris,BEER AND WINE ON PREMISES/SUNDAY,4.6886837303867654,4.697602098433574,4.831849766778251
Oglethorpe,BEER AND WINE ON PREMISES/SUNDAY,1.5453642246695116,2.072094056795173,2.2618137890460503
Timothy Rd.,BEER AND WINE ON PREMISES/SUNDAY,1.149789960347037,1.9915819022284975,2.0853498719098598
Whit Davis,BEER AND WINE ON PREMISES/SUNDAY,2.3771397588501704,2.4322492609551802,2.4442243393675875
Whitehead Rd.,BEER AND WINE ON PREMISES/SUNDAY,2.580185824857023,2.8210424101190195,2.9698544853298574
Winterville,BEER AND WINE ON PREMISES/SUNDAY,3.02258476394421,3.0252447786293764,3.0549029793539066
Alps Road,BEER/WINE PKG/SUNDAY SALES,0.29912622516659354,0.5049382021614465,0.6584181578821723
Barnett Shoals,BEER/WINE PKG/SUNDAY SALES,0.8092150881747981,0.8930610858742413,1.100761123053073
Barrow,BEER/WINE PKG/SUNDAY SALES,0.3795001549973254,0.5211475082462148,0.6448500101055996
Chase Street,BEER/WINE PKG/SUNDAY SALES,0.3324769597666722,0.47545253554432393,0.5914914564558581
Choice Zone-East,BEER/WINE PKG/SUNDAY SALES,0.4790881818743175,0.5697018538070551,0.6536725456868224
Choice Zone-West,BEER/WINE PKG/SUNDAY SALES,0.7772347804290164,0.9374430057734368,1.0804052352395548
Cleveland Road,BEER/WINE PKG/SUNDAY SALES,0.9064989944457058,0.9936342868595587,1.286773347788029
Fowler Drive,BEER/WINE PKG/SUNDAY SALES,0.6506952530161128,0.9541853603288017,1.0806966140564997
Gaines,BEER/WINE PKG/SUNDAY SALES,0.5388994588647216,0.5900473981358687,0.8182149134086575
Howard B Stroud,BEER/WINE PKG/SUNDAY SALES,0.5419269171741308,0.6855630179904431,0.7881214554561881
Judia Jackson Harris,BEER/WINE PKG/SUNDAY SALES,0.8393650924082721,1.1310668396637829,1.5704023269797276
Oglethorpe,BEER/WINE PKG/SUNDAY SALES,0.8900358605583047,0.955099141995119,1.0477740928138628
Timothy Rd.,BEER/WINE PKG/SUNDAY SALES,0.6340536282479504,0.7351019252954866,0.8297686814506867
Whit Davis,BEER/WINE PKG/SUNDAY SALES,1.8863798816198594,1.9444195348784368,1.996262519182141
Whitehead Rd.,BEER/WINE PKG/SUNDAY SALES,0.9593665381308025,1.0716107951470983,1.295919432169108
Winterville,BEER/WINE PKG/SUNDAY SALES,1.5196597566576568,1.6538162614143102,1.7414229465840354
Alps Road,BEER/WINE/LIQUOR ON PREMI/SUNDAY,0.2947482054357515,0.43114214665614065,0.5032866162594044
